sample_no,SampleID,Method,Rt1,Rt2,QuantSN,QuantMass,QuantArea,Concentration,MolecularFormula,Monoiso_Mass,Smiles,IDLevel,Name,CAS
230,9 229,GC,40.423000000000002,GC only,Qualitative,359.8415,51791,Qualitative,C12H4Cl6,357.8449,Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,2,"2,3,3',4,4',5-Hexachlorobiphenyl (PCB 156)",38380-08-4
234,10 234,GC,40.423000000000002,GC only,Qualitative,359.8415,4399,Qualitative,C12H4Cl6,357.8449,Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,2,"2,3,3',4,4',5-Hexachlorobiphenyl (PCB 156)",38380-08-4
228,9 228,GC,40.423000000000002,GC only,Qualitative,359.8415,28947,Qualitative,C12H4Cl6,357.8449,Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,2,"2,3,3',4,4',5-Hexachlorobiphenyl (PCB 156)",38380-08-4
233,10 233,GC,40.423000000000002,GC only,Qualitative,359.8415,2078,Qualitative,C12H4Cl6,357.8449,Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,2,"2,3,3',4,4',5-Hexachlorobiphenyl (PCB 156)",38380-08-4
231,11 231,GC,40.423000000000002,GC only,Qualitative,359.8415,96840,Qualitative,C12H4Cl6,357.8449,Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,NA,"2,3,3',4,4',5-Hexachlorobiphenyl (PCB 156)",38380-08-4
232,11 232,GC,40.423000000000002,GC only,Qualitative,359.8415,288956,Qualitative,C12H4Cl6,357.8449,Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,2,"2,3,3',4,4',5-Hexachlorobiphenyl (PCB 156)",38380-08-4
229,9 229,GC,40.423000000000002,GC only,Qualitative,359.8415,51791,Qualitative,C12H4Cl6,357.8449,Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,2,"2,3,3',4,4',5-Hexachlorobiphenyl (PCB 156)",38380-08-4
230,14 229,GC,43.658000000000001,GC only,Qualitative,393.80250000000001,8174,Qualitative,C12H3Cl7,391.80599999999902,Clc1cc(cc(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,2,"2,3,3',4,4',5,5'-Heptachlorobiphenyl",39635-31-9
234,15 234,GC,43.658000000000001,GC only,Qualitative,393.80250000000001,667,Qualitative,C12H3Cl7,391.80599999999902,Clc1cc(cc(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,2,"2,3,3',4,4',5,5'-Heptachlorobiphenyl",39635-31-9
228,14 228,GC,43.658000000000001,GC only,Qualitative,393.80250000000001,9636,Qualitative,C12H3Cl7,391.80599999999902,Clc1cc(cc(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,2,"2,3,3',4,4',5,5'-Heptachlorobiphenyl",39635-31-9
233,15 233,GC,43.658000000000001,GC only,Qualitative,393.80250000000001,781,Qualitative,C12H3Cl7,391.80599999999902,Clc1cc(cc(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,2,"2,3,3',4,4',5,5'-Heptachlorobiphenyl",39635-31-9
231,16 231,GC,43.658000000000001,GC only,Qualitative,393.80250000000001,13111,Qualitative,C12H3Cl7,391.80599999999902,Clc1cc(cc(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,NA,"2,3,3',4,4',5,5'-Heptachlorobiphenyl",39635-31-9
232,16 232,GC,43.658000000000001,GC only,Qualitative,393.80250000000001,71852,Qualitative,C12H3Cl7,391.80599999999902,Clc1cc(cc(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,2,"2,3,3',4,4',5,5'-Heptachlorobiphenyl",39635-31-9
229,14 229,GC,43.658000000000001,GC only,Qualitative,393.80250000000001,8174,Qualitative,C12H3Cl7,391.80599999999902,Clc1cc(cc(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,2,"2,3,3',4,4',5,5'-Heptachlorobiphenyl",39635-31-9
232,1015 232,GCxGC,2.225324074074074E-2,2.36572,275,BPI(359.840630Â±3ppm),255666,166.28959805769699,C12H4Cl6,357.84440000000001,Clc1cc(Cl)cc(c1)c2c(Cl)cc(Cl)c(Cl)c2Cl,2,"2,3,3',4,5',6-Hexachlorobiphenyl",74472-43-8
231,1149 231,GCxGC,2.229363425925926E-2,2.3598599999999901,49,BPI(359.840437Â±3ppm),27067,83.782705419611503,C12H4Cl6,357.84440000000001,Clc1cc(Cl)cc(c1)c2c(Cl)cc(Cl)c(Cl)c2Cl,NA,"2,3,3',4,5',6-Hexachlorobiphenyl",74472-43-8
228,1370 228,GCxGC,2.2212731481481483E-2,2.38801,54,BPI(359.841109Â±3ppm),29994,7.8805774860067102,C12H4Cl6,357.84440000000001,Clc1cc(Cl)cc(c1)c2c(Cl)cc(Cl)c(Cl)c2Cl,2,"2,3,3',4,5',6-Hexachlorobiphenyl",74472-43-8
229,*45 229,GCxGC,2.225324074074074E-2,2.3794300000000002,14,BPI(359.84055Â±0.00100),13217,5.9343194711276199,C12H4Cl6,357.84440000000001,Clc1cc(Cl)cc(c1)c2c(Cl)cc(Cl)c(Cl)c2Cl,2,"2,3,3',4,5',6-Hexachlorobiphenyl",74472-43-8
238,1393 238,GCxGC,2.0431712962962964E-2,2.62629,125,BPI(220.124602Â±3ppm),172950,78.796099476897695,C17H16,220.12520000000001,Cc1cc2ccc3cccc(C)c3c2cc1C,2,"2,3,5-Trimethylphenanthrene",3674-73-5
243,1319 243,GCxGC,2.0431712962962964E-2,2.6331500000000001,85,BPI(205.101269Â±3ppm),146820,6.1489676880228803,C17H16,220.12520000000001,Cc1cc2ccc3cccc(C)c3c2cc1C,2,"2,3,5-Trimethylphenanthrene",3674-73-5
237,1000 237,GCxGC,2.0431712962962964E-2,2.60636,90,BPI(220.124510Â±3ppm),75282,5.7326087319551204,C17H16,220.12520000000001,Cc1cc2ccc3cccc(C)c3c2cc1C,2,"2,3,5-Trimethylphenanthrene",3674-73-5
241,1121 241,GCxGC,2.0593634259259259E-2,3.0994299999999901,99,BPI(220.124608Â±3ppm),10459,4.66011430268121,C17H16,220.12520000000001,Cc1cc2ccc3cccc(C)c3c2cc1C,2,"2,3,5-Trimethylphenanthrene",3674-73-5
237,346 237,GCxGC,1.1567476851851851E-2,2.2496800000000001,42,BPI(155.085721Â±3ppm),93021,8.7838312915158294,C13H14,170.1096,Cc1ccc2cc(C)c(C)cc2c1,2,"2,3,6-Trimethylnaphthalene",829-26-5
241,385 241,GCxGC,1.1688888888888889E-2,2.61782,90,BPI(155.085604Â±3ppm),6795,3.1845575531799999,C13H14,170.1096,Cc1ccc2cc(C)c(C)cc2c1,2,"2,3,6-Trimethylnaphthalene",829-26-5
238,*49 238,GCxGC,1.1526967592592592E-2,2.26972,41,BPI(155.08515Â±0.00100),143473,2.1800000000000002,C13H14,170.1096,Cc1ccc2cc(C)c(C)cc2c1,2,"2,3,6-Trimethylnaphthalene",829-26-5
243,469 243,GCxGC,1.1526967592592592E-2,2.27389999999999,64,BPI(155.085523Â±3ppm),36371,1.81115479236532,C13H14,170.1096,Cc1ccc2cc(C)c(C)cc2c1,2,"2,3,6-Trimethylnaphthalene",829-26-5
230,1 229,GC,12.609,GC only,Qualitative,78.919899999999998,10198,Qualitative,C6H4Br2O,249.8629,Oc1ccc(Br)cc1Br,2,"2,4-Dibromophenol",615-58-7
234,1 234,GC,12.609,GC only,Qualitative,78.919899999999998,5019,Qualitative,C6H4Br2O,249.8629,Oc1ccc(Br)cc1Br,2,"2,4-Dibromophenol",615-58-7
228,1 228,GC,12.609,GC only,Qualitative,78.919899999999998,2388,Qualitative,C6H4Br2O,249.8629,Oc1ccc(Br)cc1Br,2,"2,4-Dibromophenol",615-58-7
233,1 233,GC,12.609,GC only,Qualitative,78.919899999999998,1448,Qualitative,C6H4Br2O,249.8629,Oc1ccc(Br)cc1Br,2,"2,4-Dibromophenol",615-58-7
231,1 231,GC,12.609,GC only,Qualitative,78.919899999999998,7483,Qualitative,C6H4Br2O,249.8629,Oc1ccc(Br)cc1Br,NA,"2,4-Dibromophenol",615-58-7
232,1 232,GC,12.609,GC only,Qualitative,78.919899999999998,1920,Qualitative,C6H4Br2O,249.8629,Oc1ccc(Br)cc1Br,2,"2,4-Dibromophenol",615-58-7
229,1 229,GC,12.609,GC only,Qualitative,78.919899999999998,10198,Qualitative,C6H4Br2O,249.8629,Oc1ccc(Br)cc1Br,2,"2,4-Dibromophenol",615-58-7
221,96 221,GCxGC,8.5722222222222224E-3,2.0257800000000001,47,BPI(163.111748Â±3ppm),26205,66.757527895246298,C12H18O,178.13579999999899,CC(C)c1ccc(O)c(c1)C(C)C,2,"2,4-Diisopropylphenol",
230,2 229,GC,20.402999999999899,GC only,Qualitative,78.919899999999998,145576,Qualitative,C7H5Br3,341.78910000000002,COc1c(Br)cc(Br)cc1Br,2,"2,4,6-Tribromoanisole",607-99-8
234,2 234,GC,20.402999999999899,GC only,Qualitative,78.919899999999998,984198,Qualitative,C7H5Br3,341.78910000000002,COc1c(Br)cc(Br)cc1Br,2,"2,4,6-Tribromoanisole",607-99-8
228,2 228,GC,20.402999999999899,GC only,Qualitative,78.919899999999998,43953,Qualitative,C7H5Br3,341.78910000000002,COc1c(Br)cc(Br)cc1Br,2,"2,4,6-Tribromoanisole",607-99-8
233,2 233,GC,20.402999999999899,GC only,Qualitative,78.919899999999998,893278,Qualitative,C7H5Br3,341.78910000000002,COc1c(Br)cc(Br)cc1Br,2,"2,4,6-Tribromoanisole",607-99-8
231,2 231,GC,20.402999999999899,GC only,Qualitative,78.919899999999998,150095,Qualitative,C7H5Br3,341.78910000000002,COc1c(Br)cc(Br)cc1Br,NA,"2,4,6-Tribromoanisole",607-99-8
232,2 232,GC,20.402999999999899,GC only,Qualitative,78.919899999999998,3379,Qualitative,C7H5Br3,341.78910000000002,COc1c(Br)cc(Br)cc1Br,2,"2,4,6-Tribromoanisole",607-99-8
229,2 229,GC,20.402999999999899,GC only,Qualitative,78.919899999999998,145576,Qualitative,C7H5Br3,341.78910000000002,COc1c(Br)cc(Br)cc1Br,2,"2,4,6-Tribromoanisole",607-99-8
230,3 229,GC,20.952000000000002,GC only,Qualitative,78.919899999999998,90458,Qualitative,C6H3Br3O,327.77339999999901,Oc1c(Br)cc(Br)cc1Br,2,"2,4,6-Tribromophenol",118-79-6
234,3 234,GC,20.952000000000002,GC only,Qualitative,78.919899999999998,3623,Qualitative,C6H3Br3O,327.77339999999901,Oc1c(Br)cc(Br)cc1Br,2,"2,4,6-Tribromophenol",118-79-6
228,3 228,GC,20.952000000000002,GC only,Qualitative,78.919899999999998,44419,Qualitative,C6H3Br3O,327.77339999999901,Oc1c(Br)cc(Br)cc1Br,2,"2,4,6-Tribromophenol",118-79-6
233,3 233,GC,20.952000000000002,GC only,Qualitative,78.919899999999998,15594,Qualitative,C6H3Br3O,327.77339999999901,Oc1c(Br)cc(Br)cc1Br,2,"2,4,6-Tribromophenol",118-79-6
231,3 231,GC,20.952000000000002,GC only,Qualitative,78.919899999999998,18942,Qualitative,C6H3Br3O,327.77339999999901,Oc1c(Br)cc(Br)cc1Br,NA,"2,4,6-Tribromophenol",118-79-6
232,3 232,GC,20.952000000000002,GC only,Qualitative,78.919899999999998,7704,Qualitative,C6H3Br3O,327.77339999999901,Oc1c(Br)cc(Br)cc1Br,2,"2,4,6-Tribromophenol",118-79-6
229,3 229,GC,20.952000000000002,GC only,Qualitative,78.919899999999998,90458,Qualitative,C6H3Br3O,327.77339999999901,Oc1c(Br)cc(Br)cc1Br,2,"2,4,6-Tribromophenol",118-79-6
238,266 238,GCxGC,8.5722222222222224E-3,2.38449,34,BPI(147.080468Â±3ppm),18760,5.4673063531673503,C10H12O,148.088799999999,Cc1cc(C)c(C=O)c(C)c1,3,"2,4,6-Trimethylbenzaldehyde",487-68-3
238,*10 239,GCxGC,8.5722222222222224E-3,2.3725700000000001,11,BPI(147.08005Â±0.00100),14281,3.5009128456805101,C10H12O,148.088799999999,Cc1cc(C)c(C=O)c(C)c1,3,"2,4,6-Trimethylbenzaldehyde",487-68-3
237,194 237,GCxGC,8.5722222222222224E-3,2.3772000000000002,59,BPI(147.080606Â±3ppm),34109,2.8936409844894602,C10H12O,148.088799999999,Cc1cc(C)c(C=O)c(C)c1,3,"2,4,6-Trimethylbenzaldehyde",487-68-3
221,NA,LC,20.03,NA,NA,254.224999999999,NA,NA,C16H30O2,NA,CC(C)CCC(C)(O)C#CC(C)(O)CCC(C)C,2,"2,5,8,11-Tetramethyldodec-6-yne-5,8-diol",68227-33-8
231,580 231,GCxGC,1.4522222222222221E-2,2.1863000000000001,46,BPI(197.132259Â±3ppm),73528,46.282863465772998,C16H20,212.156499999999,CC(C)c1ccc2cc(ccc2c1)C(C)C,NA,"2,6-Diisopropylnaphthalene",24157-81-1
243,*51 243,GCxGC,1.4562731481481482E-2,2.09829,90,BPI(197.13175Â±0.00100),322330,16.182430376929499,C16H20,212.156499999999,CC(C)c1ccc2cc(ccc2c1)C(C)C,2,"2,6-Diisopropylnaphthalene",24157-81-1
242,*10 242,GCxGC,1.4522222222222221E-2,2.18743,25,BPI(197.13175Â±0.00100),41531,7.1454339079837998,C16H20,212.156499999999,CC(C)c1ccc2cc(ccc2c1)C(C)C,2,"2,6-Diisopropylnaphthalene",24157-81-1
238,*25 239,GCxGC,1.4522222222222221E-2,2.18743,19,BPI(197.13175Â±0.00100),17905,5.5039131423793597,C16H20,212.156499999999,CC(C)c1ccc2cc(ccc2c1)C(C)C,2,"2,6-Diisopropylnaphthalene",24157-81-1
228,*34 228,GCxGC,1.4522222222222221E-2,2.1805699999999901,21,BPI(197.13175Â±0.00100),18466,4.8330486726291904,C16H20,212.156499999999,CC(C)c1ccc2cc(ccc2c1)C(C)C,2,"2,6-Diisopropylnaphthalene",24157-81-1
238,48 238,GCxGC,4.5246527777777776E-3,2.2491500000000002,271,BPI(68.025698Â±3ppm),1232523,389.22525850153897,C9H12O2,152.083699999999,CC1=CC(=O)CC(C)(C)C1=O,2,"2,6,6-Trimethyl-2-cyclohexene-1,4-dione",1125-21-9
229,*5 229,GCxGC,4.5246527777777776E-3,2.2491500000000002,230,BPI(68.02513Â±0.00100),777015,205.96333181271501,C9H12O2,152.083699999999,CC1=CC(=O)CC(C)(C)C1=O,2,"2,6,6-Trimethyl-2-cyclohexene-1,4-dione",1125-21-9
228,71 228,GCxGC,4.5650462962962971E-3,2.23543,271,BPI(68.025675Â±3ppm),404386,101.955706225287,C9H12O2,152.083699999999,CC1=CC(=O)CC(C)(C)C1=O,2,"2,6,6-Trimethyl-2-cyclohexene-1,4-dione",1125-21-9
238,28 239,GCxGC,4.5246527777777776E-3,2.23543,156,BPI(68.025720Â±3ppm),366017,87.774075610448705,C9H12O2,152.083699999999,CC1=CC(=O)CC(C)(C)C1=O,2,"2,6,6-Trimethyl-2-cyclohexene-1,4-dione",1125-21-9
237,51 237,GCxGC,4.5246527777777776E-3,2.2422900000000001,177,BPI(68.025725Â±3ppm),395116,36.828192046443903,C9H12O2,152.083699999999,CC1=CC(=O)CC(C)(C)C1=O,2,"2,6,6-Trimethyl-2-cyclohexene-1,4-dione",1125-21-9
219,*5 219,GCxGC,4.5246527777777776E-3,2.2491500000000002,18,BPI(68.02513Â±0.00100),16583,24.1005704320023,C9H12O2,152.083699999999,CC1=CC(=O)CC(C)(C)C1=O,2,"2,6,6-Trimethyl-2-cyclohexene-1,4-dione",1125-21-9
241,50 241,GCxGC,4.6864583333333333E-3,2.5962100000000001,400,BPI(68.025725Â±3ppm),42533,22.283404267937499,C9H12O2,152.083699999999,CC1=CC(=O)CC(C)(C)C1=O,2,"2,6,6-Trimethyl-2-cyclohexene-1,4-dione",1125-21-9
230,*5 230,GCxGC,4.5246527777777776E-3,2.2422900000000001,24,BPI(68.02513Â±0.00100),96792,13.566528624471999,C9H12O2,152.083699999999,CC1=CC(=O)CC(C)(C)C1=O,2,"2,6,6-Trimethyl-2-cyclohexene-1,4-dione",1125-21-9
240,*3 240,GCxGC,4.5246527777777776E-3,2.2422900000000001,31,BPI(68.02513Â±0.00100),71302,12.051239147005701,C9H12O2,152.083699999999,CC1=CC(=O)CC(C)(C)C1=O,2,"2,6,6-Trimethyl-2-cyclohexene-1,4-dione",1125-21-9
233,*5 233,GCxGC,4.5246527777777776E-3,2.2628599999999901,11,BPI(68.02513Â±0.00100),10742,7.3706388385596799,C9H12O2,152.083699999999,CC1=CC(=O)CC(C)(C)C1=O,2,"2,6,6-Trimethyl-2-cyclohexene-1,4-dione",1125-21-9
243,49 243,GCxGC,4.4841435185185184E-3,2.2557399999999901,81,BPI(68.025717Â±3ppm),146531,6.4415442116719603,C9H12O2,152.083699999999,CC1=CC(=O)CC(C)(C)C1=O,2,"2,6,6-Trimethyl-2-cyclohexene-1,4-dione",1125-21-9
229,NA,LC+,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3-(Perfluorobutyl)propanoic acid,80705-13-1
238,NA,LC,NA,NA,NA,NA,NA,NA,C13H8F21O5P,NA,NA,2,3-(Perfluorodecyl)-2-hydroxypropyl dihydrogen phosphate,94158-70-0
224,*30 224,GCxGC,1.1081712962962962E-2,2.5234299999999901,33,BPI(79.05375Â±0.00100),60323,124.513899782854,C11H13ClO,196.06549999999899,CC(C=CCl)C(O)c1ccccc1,2,"3-Buten-1-ol, 4-chloro-2-methyl-1-phenyl-",NA
219,181 219,GCxGC,1.1081712962962962E-2,2.52285,66,BPI(79.054261Â±3ppm),38453,43.641047757399598,C11H13ClO,196.06549999999899,CC(C=CCl)C(O)c1ccccc1,2,"3-Buten-1-ol, 4-chloro-2-methyl-1-phenyl-",NA
220,*22 220,GCxGC,1.1081712962962962E-2,2.5234299999999901,49,BPI(79.05375Â±0.00100),46044,32.806671915468101,C11H13ClO,196.06549999999899,CC(C=CCl)C(O)c1ccccc1,2,"3-Buten-1-ol, 4-chloro-2-methyl-1-phenyl-",NA
233,320 233,GCxGC,1.0757986111111111E-2,2.016,320,BPI(177.127541Â±3ppm),288030,231.721547980069,C13H20O,192.1514,CC(=O)C=CC1=C(C)CCCC1(C)C,2,"3-Buten-2-one, 4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-",14901-07-6
224,*29 224,GCxGC,1.0757986111111111E-2,2.0228600000000001,56,BPI(177.12695Â±0.00100),81570,168.37025355647799,C13H20O,192.1514,CC(=O)C=CC1=C(C)CCCC1(C)C,2,"3-Buten-2-one, 4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-",14901-07-6
232,*16 232,GCxGC,1.0757986111111111E-2,2.016,63,BPI(177.12695Â±0.00100),105410,117.14846998774701,C13H20O,192.1514,CC(=O)C=CC1=C(C)CCCC1(C)C,2,"3-Buten-2-one, 4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-",14901-07-6
231,*22 231,GCxGC,1.0757986111111111E-2,2.0228600000000001,78,BPI(177.12695Â±0.00100),143458,99.4273973566401,C13H20O,192.1514,CC(=O)C=CC1=C(C)CCCC1(C)C,NA,"3-Buten-2-one, 4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-",14901-07-6
238,*15 239,GCxGC,1.0757986111111111E-2,2.0228600000000001,80,BPI(177.12695Â±0.00100),133152,36.013138499095,C13H20O,192.1514,CC(=O)C=CC1=C(C)CCCC1(C)C,2,"3-Buten-2-one, 4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-",14901-07-6
237,*31 237,GCxGC,1.079837962962963E-2,2.0365700000000002,31,BPI(177.12695Â±0.00100),29616,2.7965937533409901,C13H20O,192.1514,CC(=O)C=CC1=C(C)CCCC1(C)C,2,"3-Buten-2-one, 4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-",14901-07-6
238,*45 238,GCxGC,1.0757986111111111E-2,2.0297200000000002,263,BPI(177.12695Â±0.00100),426674,2.44,C13H20O,192.1514,CC(=O)C=CC1=C(C)CCCC1(C)C,2,"3-Buten-2-one, 4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-",14901-07-6
237,NA,LC,13.96,NA,NA,252.1003,NA,NA,C13H16O5,NA,CCOC(=O)c1ccc(CC(O)=O)cc1OCC,2,3-Ethoxy-4-ethoxycarbonylphenylacetic acid,99469-99-5
238,NA,LC,13.96,NA,NA,252.09970000000001,NA,NA,NA,NA,CCOC(=O)c1ccc(CC(O)=O)cc1OCC,2,3-Ethoxy-4-ethoxycarbonylphenylacetic acid,99469-99-5
222,*15 222,GCxGC,6.1841435185185185E-3,2.3519999999999901,55,BPI(139.06225Â±0.00100),83977,376.55331549596002,C7H9NO2,139.0633,CCC1=C(C)C(=O)NC1=O,3,"3-Ethyl-4-methyl-1H-pyrrole-2,5-dione",20189-42-8
224,*13 224,GCxGC,6.1841435185185185E-3,2.3519999999999901,54,BPI(139.06225Â±0.00100),112163,335.66661678886697,C7H9NO2,139.0633,CCC1=C(C)C(=O)NC1=O,3,"3-Ethyl-4-methyl-1H-pyrrole-2,5-dione",20189-42-8
223,*9 223,GCxGC,6.1841435185185185E-3,2.3519999999999901,39,BPI(139.06225Â±0.00100),102156,335.226219287091,C7H9NO2,139.0633,CCC1=C(C)C(=O)NC1=O,2,"3-Ethyl-4-methyl-1H-pyrrole-2,5-dione",20189-42-8
219,*10 219,GCxGC,6.1841435185185185E-3,2.3519999999999901,82,BPI(139.06225Â±0.00100),182094,264.64266250045398,C7H9NO2,139.0633,CCC1=C(C)C(=O)NC1=O,3,"3-Ethyl-4-methyl-1H-pyrrole-2,5-dione",20189-42-8
225,*11 225,GCxGC,6.1841435185185185E-3,2.3519999999999901,27,BPI(139.06225Â±0.00100),38184,183.48209459053601,C7H9NO2,139.0633,CCC1=C(C)C(=O)NC1=O,3,"3-Ethyl-4-methyl-1H-pyrrole-2,5-dione",20189-42-8
221,*7 221,GCxGC,6.1841435185185185E-3,2.3519999999999901,20,BPI(139.06225Â±0.00100),22998,87.046867459618994,C7H9NO2,139.0633,CCC1=C(C)C(=O)NC1=O,3,"3-Ethyl-4-methyl-1H-pyrrole-2,5-dione",20189-42-8
238,130 238,GCxGC,6.1436342592592584E-3,2.3725700000000001,354,BPI(139.062770Â±3ppm),274995,86.842192771762299,C7H9NO2,139.0633,CCC1=C(C)C(=O)NC1=O,3,"3-Ethyl-4-methyl-1H-pyrrole-2,5-dione",20189-42-8
220,*12 220,GCxGC,6.1841435185185185E-3,2.3519999999999901,44,BPI(139.06225Â±0.00100),73100,63.634246715458701,C7H9NO2,139.0633,CCC1=C(C)C(=O)NC1=O,3,"3-Ethyl-4-methyl-1H-pyrrole-2,5-dione",20189-42-8
238,66 239,GCxGC,6.1841435185185185E-3,2.3519999999999901,220,BPI(139.062726Â±3ppm),261327,62.668498613593698,C7H9NO2,139.0633,CCC1=C(C)C(=O)NC1=O,3,"3-Ethyl-4-methyl-1H-pyrrole-2,5-dione",20189-42-8
241,*3 241,GCxGC,6.3460648148148148E-3,2.7222900000000001,159,BPI(139.06225Â±0.00100),71189,37.296528964103302,C7H9NO2,139.0633,CCC1=C(C)C(=O)NC1=O,3,"3-Ethyl-4-methyl-1H-pyrrole-2,5-dione",20189-42-8
237,128 237,GCxGC,6.1841435185185185E-3,2.3519999999999901,206,BPI(139.062755Â±3ppm),206747,19.270589449746701,C7H9NO2,139.0633,CCC1=C(C)C(=O)NC1=O,3,"3-Ethyl-4-methyl-1H-pyrrole-2,5-dione",20189-42-8
240,78 240,GCxGC,6.1841435185185185E-3,2.3462800000000001,46,BPI(67.054287Â±3ppm),30079,5.0838577080977601,C7H9NO2,139.0633,CCC1=C(C)C(=O)NC1=O,2,"3-Ethyl-4-methyl-1H-pyrrole-2,5-dione",20189-42-8
242,*3 242,GCxGC,6.1841435185185185E-3,2.35886,16,BPI(139.06225Â±0.00100),23011,3.2629213639283501,C7H9NO2,139.0633,CCC1=C(C)C(=O)NC1=O,3,"3-Ethyl-4-methyl-1H-pyrrole-2,5-dione",20189-42-8
243,133 243,GCxGC,6.1436342592592584E-3,2.37462999999999,78,BPI(67.054291Â±3ppm),46578,2.0475820562970002,C7H9NO2,139.0633,CCC1=C(C)C(=O)NC1=O,3,"3-Ethyl-4-methyl-1H-pyrrole-2,5-dione",20189-42-8
224,197 224,GCxGC,8.8555555555555557E-3,1.8514299999999899,308,BPI(71.049191Â±3ppm),664144,1897.05563109125,C12H24O3,216.17250000000001,CC(C)C(=O)OCC(C)C(O)C(C)(C)C,2,"3-Hydroxy-2,4,4-trimethylpentyl 2-methylpropanoate",74367-34-3
222,161 222,GCxGC,8.8555555555555557E-3,1.8514299999999899,88,BPI(71.049174Â±3ppm),183876,732.865391444642,C12H24O3,216.17250000000001,CC(C)C(=O)OCC(C)C(O)C(C)(C)C,2,"3-Hydroxy-2,4,4-trimethylpentyl 2-methylpropanoate",74367-34-3
221,*10 221,GCxGC,8.8150462962962965E-3,1.8651500000000001,29,BPI(71.04865Â±0.00100),80021,203.854384266571,C12H24O3,216.17250000000001,CC(C)C(=O)OCC(C)C(O)C(C)(C)C,2,"3-Hydroxy-2,4,4-trimethylpentyl 2-methylpropanoate",74367-34-3
225,88 225,GCxGC,8.8555555555555557E-3,1.8512,32,BPI(71.049165Â±3ppm),52346,161.29042197538001,C12H24O3,216.17250000000001,CC(C)C(=O)OCC(C)C(O)C(C)(C)C,2,"3-Hydroxy-2,4,4-trimethylpentyl 2-methylpropanoate",74367-34-3
219,*16 219,GCxGC,8.7746527777777788E-3,1.8720000000000001,33,BPI(71.04865Â±0.00100),82640,101.368922035228,C12H24O3,216.17250000000001,CC(C)C(=O)OCC(C)C(O)C(C)(C)C,2,"3-Hydroxy-2,4,4-trimethylpentyl 2-methylpropanoate",74367-34-3
220,*21 220,GCxGC,8.8150462962962965E-3,1.8651500000000001,50,BPI(71.04865Â±0.00100),128913,92.190025315731503,C12H24O3,216.17250000000001,CC(C)C(=O)OCC(C)C(O)C(C)(C)C,2,"3-Hydroxy-2,4,4-trimethylpentyl 2-methylpropanoate",74367-34-3
223,115 223,GCxGC,8.8150462962962965E-3,1.8648100000000001,28,BPI(71.049132Â±3ppm),27080,65.531719239657804,C12H24O3,216.17250000000001,CC(C)C(=O)OCC(C)C(O)C(C)(C)C,3,"3-Hydroxy-2,4,4-trimethylpentyl 2-methylpropanoate",74367-34-3
231,*17 231,GCxGC,8.8150462962962965E-3,1.85836,49,BPI(71.04865Â±0.00100),121714,62.681842373608298,C12H24O3,216.17250000000001,CC(C)C(=O)OCC(C)C(O)C(C)(C)C,NA,"3-Hydroxy-2,4,4-trimethylpentyl 2-methylpropanoate",74367-34-3
232,*14 232,GCxGC,8.8150462962962965E-3,1.8651500000000001,27,BPI(71.04865Â±0.00100),71201,55.9644316447691,C12H24O3,216.17250000000001,CC(C)C(=O)OCC(C)C(O)C(C)(C)C,2,"3-Hydroxy-2,4,4-trimethylpentyl 2-methylpropanoate",74367-34-3
234,*17 234,GCxGC,8.8150462962962965E-3,1.8651500000000001,21,BPI(71.04865Â±0.00100),53927,52.757394933032103,C12H24O3,216.17250000000001,CC(C)C(=O)OCC(C)C(O)C(C)(C)C,2,"3-Hydroxy-2,4,4-trimethylpentyl 2-methylpropanoate",74367-34-3
230,*25 230,GCxGC,8.8150462962962965E-3,1.8651500000000001,74,BPI(71.04865Â±0.00100),278411,39.206317763987002,C12H24O3,216.17250000000001,CC(C)C(=O)OCC(C)C(O)C(C)(C)C,2,"3-Hydroxy-2,4,4-trimethylpentyl 2-methylpropanoate",74367-34-3
