Name_original,Name,CAS,Norman_SusDat_ID,Norman_matched,Norman_matched_Synonym_Reliability,CAS_RN,DTXSID,Molecular_Formula
1-Phenyl-2-(pyridin-2-yl)ethan-1-one,1-Phenyl-2-(pyridin-2-yl)ethan-1-one,1620-53-7,NS00025290,Name,NA,CAS_RN: 1620-53-7,DTXSID00167283,C13H11N1O1
1-Phenyl-2-pentanone,1-Phenyl-2-pentanone,6683-92-7,NS00036073,Name,NA,CAS_RN: 6683-92-7,DTXSID70216954,C11H14O1
"1-Phenyl-5-(2-tetrahydro-1H-pyrrol-1-ylvinyl)-1H-1,2,3,4-tetraazole","1-Phenyl-5-(2-tetrahydro-1H-pyrrol-1-ylvinyl)-1H-1,2,3,4-tetraazole",NA,NS00016499,Name,NA,NA,NA,C13H15N5
1-Phenylcyclobutanecarbonitrile,1-Phenylcyclobutanecarbonitrile,14377-68-5,NS00024671,Name,NA,CAS_RN: 14377-68-5,DTXSID90162540,C11H11N1
1-Phenylcyclohexane-1-carboxylic acid,1-Phenylcyclohexane-1-carboxylic acid,1135-67-7,NS00023691,Name,NA,CAS_RN: 1135-67-7,DTXSID50150428,C13H16O2
1-Phenylcyclohexanecarbonitrile,1-Phenylcyclohexanecarbonitrile,2201-23-2,NS00027023,Name,NA,CAS_RN: 2201-23-2,DTXSID70176448,C13H15N1
1-Phenylcyclopentanecarbonitrile,1-Phenylcyclopentanecarbonitrile,77-57-6,NS00037930,Name,NA,CAS_RN: 77-57-6,DTXSID60227812,C12H13N1
1-Phenylcyclopentanecarboxylic acid,1-Phenylcyclopentanecarboxylic acid,77-55-4,NS00020887,Name,NA,CAS_RN: 77-55-4,DTXSID00227811,C12H14O2
1-Phenylcyclopropanecarboxylic acid,1-Phenylcyclopropanecarboxylic acid,6120-95-2,NS00034598,Name,NA,CAS_RN: 6120-95-2,DTXSID10210118,C10H10O2
alpha-methylenebenzyl acetate,1-Phenylethenyl acetate,2206-94-2,NS00004775,Synonyms_ChemSpider,0,CAS_RN: 2206-94-2,DTXSID0051865,C10H10O2
1-phenylethyl acetate,1-phenylethyl acetate,93-92-5,NS00107825,Name,NA,CAS_RN: 93-92-5,NA,C10H12O
1-Phenylethyl Propanoate;,1-Phenylethyl propionate,120-45-6,NS00013193,Name,NA,CAS_RN:  120-45-6,DTXSID9047091,C11H14O2
"1-Phenylhexahydropyridazine-3,6-dione","1-Phenylhexahydropyridazine-3,6-dione",NA,NA,NA,NA,NA,NA,NA
1-Phenylhexan-3-one,1-Phenylhexan-3-one,29898-25-7,NS00028801,Name,NA,CAS_RN: 29898-25-7,DTXSID40184010,C12H16O1
"1-Phenylicosane-1,3-dione","1-Phenylicosane-1,3-dione",58446-52-9,NS00019827,Name,NA,CAS_RN: 58446-52-9,DTXSID1052246,C26H42O2
1-Phenylnaphthalene,1-Phenylnaphthalene,605-02-7,NS00034370,Name,NA,CAS_RN: 605-02-7,DTXSID8060539,C16H12
1-Phenyloctadecan-1-one,1-Phenyloctadecan-1-one,6786-36-3,NS00036240,Name,NA,CAS_RN: 6786-36-3,DTXSID20218100,C24H40O1
1-Phenylpentan-3-one,1-Phenylpentan-3-one,20795-51-1,NS00026738,Name,NA,CAS_RN: 20795-51-1,DTXSID10174882,C11H14O1
1-Phenylpiperidine-4-carboxylic acid,1-Phenylpiperidine-4-carboxylic acid,94201-40-8,NS00040245,Name,NA,CAS_RN: 94201-40-8,DTXSID10241003,C12H15N1O2
1-Phenylpyrrolidin-2-one,1-Phenylpyrrolidin-2-one,4641-57-0,NS00031605,Name,NA,CAS_RN: 4641-57-0,DTXSID60196837,C10H11N1O1
1-Phenylpyrrolidine,1-Phenylpyrrolidine,4096-21-3,NS00030888,Name,NA,CAS_RN: 4096-21-3,DTXSID20193963,C10H13N1
1-Phenyltetrazole-5-thiol,1-Phenyltetrazole-5-thiol,86-93-1,NS00019854,Name,NA,CAS_RN: 86-93-1,DTXSID1052589,C7H6N4S1
1-Phenyltridecane,1-Phenyltridecane,123-02-4,NS00020966,Name,NA,CAS_RN: 123-02-4,DTXSID7040784,C19H32
1-Phenylundecanone,1-Phenylundecanone,4433-30-1,NS00031414,Name,NA,CAS_RN: 4433-30-1,DTXSID70196141,C17H26O1
"1-Piperazineacetic acid, 4-methyl-, hydrazide","1-Piperazineacetic acid, 4-methyl-, hydrazide",24632-44-8,NS00027710,Name,NA,CAS_RN: 24632-44-8,DTXSID30179379,C7H16N4O1
"N,N-Dimethyl-2-(4-methylpiperazin-1-yl)ethan-1-amine","1-Piperazineethanamine, N,N,4-trimethyl-",104-19-8,NS00019584,Name,NA,CAS_RN: 104-19-8,DTXSID5059292,C9H21N3
"2-(4-{4-[3-(4-Chlorophenyl)-4,5-dihydro-1H-pyrazol-1-yl]benzene-1-sulfonyl}piperazin-1-yl)ethan-1-ol","1-Piperazineethanol, 4-[[4-[3-(4-chlorophenyl)-4,5-dihydro-1H-pyrazol-1-yl]phenyl]sulfonyl]-",23786-20-1,NS00027484,Name,NA,CAS_RN: 23786-20-1,DTXSID2066931,C21H25Cl1N4O3S1
"2-(4-Methylpiperazin-1-yl)-1,1-diphenylethan-1-ol","1-Piperazineethanol, alpha,alpha-diphenyl-4-methyl-",21579-78-2,NS00026909,Name,NA,CAS_RN: 21579-78-2,DTXSID00175929,C19H24N2O1
3-(4-{2-[(2-Cyanoethyl)amino]ethyl}piperazin-1-yl)propanenitrile,"1-Piperazinepropanenitrile, 4-[2-[(2-cyanoethyl)amino]ethyl]-",68310-67-8,NS00036541,Synonyms_ChemSpider,4,CAS_RN: 68310-67-8,DTXSID5071416,C12H21N5
3-[4-(2-Hydroxyethyl)piperazin-1-yl]propane-1-sulfonic acid,"1-Piperazinepropanesulfonic acid, 4-(2-hydroxyethyl)-",16052-06-5,NS00025230,Synonyms_ChemSpider,4,CAS_RN: 16052-06-5,DTXSID3066003,C9H20N2O4S1
"4,4'-(Propane-1,3-diyl)di(piperidine-1-carboxamide)","1-Piperidinecarboxamide, 4,4'-(1,3-propanediyl)bis-",70715-18-3,NS00037101,Name,NA,CAS_RN: 70715-18-3,DTXSID1072139,C15H28N4O2
1-Piperidineethanol,1-Piperidineethanol,3040-44-6,NS00022019,Name,NA,CAS_RN: 3040-44-6,DTXSID4062808,C7H15N1O1
"2,2'-[Propane-1,3-diyldi(piperidine-4,1-diyl)]di(ethan-1-ol)","1-Piperidineethanol, 4,4'-(1,3-propanediyl)bis-",18073-84-2,NS00025949,Name,NA,CAS_RN: 18073-84-2,DTXSID2066307,C17H34N2O2
"3,3'-[Propane-1,3-diyldi(piperidine-4,1-diyl)]dipropanenitrile","1-Piperidinepropanenitrile, 4,4'-(1,3-propanediyl)bis-",18136-00-0,NS00025968,Name,NA,CAS_RN: 18136-00-0,DTXSID6066315,C19H32N4
1-Piperidinepropanoic acid,1-Piperidinepropanoic acid,26371-07-3,NS00028093,Name,NA,CAS_RN: 26371-07-3,DTXSID1067201,C8H15N1O2
"1-Piperidinepropanoic acid, ethyl ester","1-Piperidinepropanoic acid, ethyl ester",19653-33-9,NS00026394,Name,NA,CAS_RN: 19653-33-9,DTXSID7066512,C10H19N1O2
1-Piperidinoacetone,1-Piperidinoacetone,6784-61-8,NS00036229,Name,NA,CAS_RN: 6784-61-8,DTXSID60218083,C8H15N1O1
1-Piperonylpiperazine,1-Piperonylpiperazine,32231-06-4,NS00029236,Name,NA,CAS_RN: 32231-06-4,DTXSID70185994,C12H16N2O2
3-(Decyloxy)propan-1-amine,"1-Propanamine, 3-(decyloxy)-",7617-78-9,NS00019627,Synonyms_ChemSpider,0,CAS_RN: 7617-78-9,DTXSID0064751,C13H29N1O1
3-(Dodecylsulfanyl)propan-1-amine,"1-Propanamine, 3-(dodecylthio)-",29873-33-4,NS00028795,Synonyms_ChemSpider,4,CAS_RN: 29873-33-4,DTXSID3067522,C15H33N1S1
3-(Hexadecyloxy)propan-1-amine,"1-Propanamine, 3-(hexadecyloxy)-",4673-33-0,NS00031632,Synonyms_ChemSpider,4,CAS_RN: 4673-33-0,DTXSID7063552,C19H41N1O1
3-[(7-Methyloctyl)oxy]propan-1-amine,"1-Propanamine, 3-(isononyloxy)-",29317-52-0,NS00028664,Name,NA,CAS_RN: 29317-52-0,DTXSID2067454,C12H27N1O1
3-methylthiopropylamine,"1-Propanamine, 3-(methylthio)-",4104-45-4,NS00022156,Name,NA,CAS_RN: 4104-45-4,DTXSID1063300,C4H11N1S1
3-(Octadecyloxy)propan-1-amine,"1-Propanamine, 3-(octadecyloxy)-",7617-75-6,NS00037761,Synonyms_ChemSpider,0,CAS_RN: 7617-75-6,DTXSID5064750,C21H45N1O1
3-(Pentadecyloxy)propan-1-amine,"1-Propanamine, 3-(pentadecyloxy)-",58943-75-2,NS00034047,Synonyms_ChemSpider,4,CAS_RN: 58943-75-2,DTXSID1069295,C18H39N1O1
3-(Tetradecyloxy)propan-1-amine,"1-Propanamine, 3-(tetradecyloxy)-",7617-82-5,NS00037762,Synonyms_ChemSpider,0,CAS_RN: 7617-82-5,DTXSID5064752,C17H37N1O1
Nordoxepin,"1-Propanamine, 3-dibenz[b,e]oxepin-11(6H)-ylidene-N-methyl-",1225-56-5,NS00009742,Name,NA,CAS_RN: 1225-56-5,DTXSID9075406,C18H19N1O1
"1,10-Diamino-4,7-dioxadecane","1-Propanamine, 3,3'-[1,2-ethanediylbis(oxy)]bis-",2997-01-5,NS00015513,Synonyms_ChemSpider,0,CAS_RN: 2997-01-5,DTXSID0062761,C8H20N2O2
"N,2-Dimethylpropan-1-amine","1-Propanamine, N,2-dimethyl-",625-43-4,NS00035064,Name,NA,CAS_RN: 625-43-4,DTXSID0060802,C5H13N1
"1-Propanaminium, 3-[(2-ethylhexyl)oxy]-2-hydroxy-N-(2-hydroxy-3-sulfopropyl)-N,N-dimethyl-, inner salt","1-Propanaminium, 3-[(2-ethylhexyl)oxy]-2-hydroxy-N-(2-hydroxy-3-sulfopropyl)-N,N-dimethyl-, inner salt",108797-85-9,NS00020925,Name,NA,CAS_RN: 108797-85-9,DTXSID9041281,C16H36N1O6S1
"1-Propanaminium, 3-[[(heptadecafluorooctyl)sulfonyl]amino]-N,N,N-trimethyl-, sulfate (2,1) (TSCA, NDSL, ENCS)","1-Propanaminium, 3-[[(heptadecafluorooctyl)sulfonyl]amino]-N,N,N-trimethyl-, sulfate (2,1) (TSCA, NDSL, ENCS)",NA,NA,NA,NA,NA,NA,NA
LAURAMIDOPROPYL ACETAMIDODIMONIUM CHLORIDE,"1-Propanaminium, N-(2-amino-2-oxoethyl)-N,N-dimethyl-3-[(1-oxododecyl)amino]-, chloride (1:1)",68259-01-8,NS00013812,Name,NA,CAS_RN: 68259-01-8,DTXSID40887312,C19H40N3O2
PALMITAMIDOPROPYL BETAINE,"1-Propanaminium, N-(carboxymethyl)-N,N-dimethyl-3-[(1-oxohexadecyl)amino]-, inner salt",32954-43-1,NS00013931,Name,NA,CAS_RN: 32954-43-1,DTXSID3067734,C23H47N2O3
STEARAMIDOPROPYL BETAINE,"1-Propanaminium, N-(carboxymethyl)-N,N-dimethyl-3-[(1-oxooctadecyl)amino]-, inner salt",6179-44-8,NS00014111,Name,NA,CAS_RN: 6179-44-8,DTXSID9064132,C25H51N2O3
MYRISTAMIDOPROPYL BETAINE,"1-Propanaminium, N-(carboxymethyl)-N,N-dimethyl-3-[(1-oxotetradecyl)amino]-, inner salt",59272-84-3,NS00013872,Name,NA,CAS_RN: 59272-84-3,DTXSID9041283,C21H43N2O3
3-(Cyclohexylamino)propane-1-sulfonic acid,"1-Propanesulfonic acid, 3-(cyclohexylamino)-",1135-40-6,NS00021533,Name,NA,CAS_RN: 1135-40-6,DTXSID3061554,C9H19N1O3S1
"3-{[1,3-Dihydroxy-2-(hydroxymethyl)propan-2-yl]amino}propane-1-sulfonic acid","1-Propanesulfonic acid, 3-[[2-hydroxy-1,1-bis(hydroxymethyl)ethyl]amino]-",29915-38-6,NS00028803,Name,NA,CAS_RN: 29915-38-6,DTXSID3067528,C7H17N1O6S1
3-[Ethyl(3-methylphenyl)amino]propane-1-sulfonic acid,"1-Propanesulfonic acid, 3-[ethyl(3-methylphenyl)amino]-",36783-03-6,NS00030089,Synonyms_ChemSpider,4,CAS_RN: 36783-03-6,DTXSID8067999,C12H19N1O3S1
"1-Propanol, 2-[1-(3,3-dimethylcyclohexyl)ethoxy]-2-methyl-, 1-propanoate","1-Propanol, 2-[1-(3,3-dimethylcyclohexyl)ethoxy]-2-methyl-, 1-propanoate",141773-73-1,NS00019508,Name,NA,CAS_RN: 141773-73-1,DTXSID7051341,C17H32O3
2-[2-(benzoyloxy)propoxy]propyl benzoate,"1-Propanol, 2-[2-(benzoyloxy)propoxy]-, 1-benzoate",20109-39-1,NS00021815,Synonyms_ChemSpider,0,CAS_RN: 20109-39-1,DTXSID40864921,C20H22O5
Dipropyleneglycol dibenzoate,"1-Propanol, 2-[2-(benzoyloxy)propoxy]-, 1-benzoate",20109-39-1,NS00021815,Synonyms_ChemSpider,0,CAS_RN: 20109-39-1,DTXSID40864921,C20H22O5
"2-Methyl-3-[(1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl)oxy]propan-1-ol","1-Propanol, 2-methyl-3-[(1,7,7-trimethylbicyclo[2.2.1]hept-2-yl)oxy]-",128119-70-0,NS00020568,Name,NA,CAS_RN: 128119-70-0,DTXSID4051322,C14H26O2
"1-Propanol, 2,2,3,3,3-pentafluoro-","1-Propanol, 2,2,3,3,3-pentafluoro-",NA,NA,NA,NA,NA,NA,NA
"2,2,6,6-tetrakis(bromomethyl)-4-oxaheptane-1,7-diol","1-Propanol, 3,3'-oxybis[2,2-bis(bromomethyl)-",109678-33-3,NS00001723,Name,NA,CAS_RN: 109678-33-3,DTXSID1074252,C10H18Br4O3
1-(2-Hydroxyphenyl)-3-phenylpropan-1-one,"1-Propanone, 1-(2-hydroxyphenyl)-3-phenyl-",3516-95-8,NS00029792,Name,NA,CAS_RN: 3516-95-8,DTXSID3074658,C15H14O2
"1-Propanone, 1-(2,4-dihydroxyphenyl)-, oxime","1-Propanone, 1-(2,4-dihydroxyphenyl)-, oxime",22919-58-0,NS00048165,Name,NA,CAS_RN: 22919-58-0,DTXSID3066843,C9H11NO3
"1-(2,4-dimethyl-3-cyclohexenyl)-2,2-dimethylpropan-1-one.","1-Propanone, 1-(2,4-dimethyl-3-cyclohexen-1-yl)-2,2-dimethyl-",69929-17-5,NS00012288,Synonyms_ChemSpider,0,CAS_RN:  69929-17-5,DTXSID30867860,C13H22O1
"1-Propanone, 1-(2,5-dimethoxyphenyl)- (9CI)","1-Propanone, 1-(2,5-dimethoxyphenyl)- (9CI)",5803-30-5,NS00033839,Name,NA,CAS_RN: 5803-30-5,DTXSID20206749,C11H14O3
1-(4-Dodecylphenyl)-2-hydroxy-2-methylpropan-1-one,"1-Propanone, 1-(4-dodecylphenyl)-2-hydroxy-2-methyl-",69673-80-9,NS00036915,Synonyms_ChemSpider,4,CAS_RN: 69673-80-9,DTXSID3071989,C22H36O2
1-(4-Ethylphenyl)-2-hydroxy-2-methylpropan-1-one,"1-Propanone, 1-(4-ethylphenyl)-2-hydroxy-2-methyl-",68400-51-1,NS00036584,Synonyms_ChemSpider,4,CAS_RN: 68400-51-1,DTXSID4071506,C12H16O2
"1-Propanone, 1-(4-phenylcyclohexyl)-, trans-","1-Propanone, 1-(4-phenylcyclohexyl)-, trans-",88069-93-6,NS00007774,Name,NA,CAS_RN: 88069-93-6,NA,C15H20O1
"1-Propanone, 1-[2-(2-propen-1-yloxy)phenyl]-","1-Propanone, 1-[2-(2-propen-1-yloxy)phenyl]-",142819-94-1,NS00008370,Name,NA,CAS_RN: 142819-94-1,NA,C12H14O2
1-(4-tert-Butylphenyl)-2-hydroxy-2-methylpropan-1-one,"1-Propanone, 1-[4-(1,1-dimethylethyl)phenyl]-2-hydroxy-2-methyl-",68400-54-4,NS00036586,Synonyms_ChemSpider,4,CAS_RN: 68400-54-4,DTXSID4071508,C14H20O2
CAT,"1-Propanone, 2-(methylamino)-1-phenyl-",5650-44-2,NS00000167,Synonyms_ChemSpider,0,CAS_RN: 5650-44-2,DTXSID30863589,C10H13N1O1
Methcathinone,"1-Propanone, 2-(methylamino)-1-phenyl-",5650-44-2,NS00000167,Name_ChemSpider,NA,CAS_RN: 5650-44-2,DTXSID30863589,C10H13N1O1
2-Chloro-2-methyl-1-phenylpropan-1-one,"1-Propanone, 2-chloro-2-methyl-1-phenyl-",7473-99-6,NS00037655,Synonyms_ChemSpider,0,CAS_RN: 7473-99-6,DTXSID9064714,C10H11Cl1O1
2-Hydroxy-2-methyl-1-(4-propylphenyl)propan-1-one,"1-Propanone, 2-hydroxy-2-methyl-1-(4-propylphenyl)-",68400-52-2,NS00036585,Synonyms_ChemSpider,4,CAS_RN: 68400-52-2,DTXSID9071507,C13H18O2
2-Hydroxy-2-methyl-1-[4-(propan-2-yl)phenyl]propan-1-one,"1-Propanone, 2-hydroxy-2-methyl-1-[4-(1-methylethyl)phenyl]-",69673-85-4,NS00022703,Name,NA,CAS_RN: 69673-85-4,DTXSID2071990,C13H18O2
2-Methyl-1-(4-methylphenyl)propan-1-one,"1-Propanone, 2-methyl-1-(4-methylphenyl)-",50390-51-7,NS00032054,Synonyms_ChemSpider,1,CAS_RN: 50390-51-7,DTXSID8074578,C11H14O1
"1-Propanone, 2-methyl-1-[4-(methylthio)phenyl]-","1-Propanone, 2-methyl-1-[4-(methylthio)phenyl]-",53207-58-2,NS00009470,Name,NA,CAS_RN: 53207-58-2,NA,C11H14O1S1
3-Chloro-1-phenylpropan-1-one,"1-Propanone, 3-chloro-1-phenyl-",936-59-4,NS00039580,Synonyms_ChemSpider,4,CAS_RN: 936-59-4,DTXSID5061324,C9H9Cl1O1
aconitic acid,"1-Propene-1,2,3-tricarboxylic acid (Aconitic acid)",499-12-7,NS00001021,Name_Dashboard,NA,CAS_RN: 499-12-7,DTXSID9060102,C6H6O6
allyl methyl sulphide,"1-Propene, 3-(methylthio)-",10152-76-8,NS00021440,Synonyms_ChemSpider,0,CAS_RN: 10152-76-8,DTXSID9064976,C4H8S1
"3-{1,2,2-Tris[(prop-2-en-1-yl)oxy]ethoxy}prop-1-ene","1-Propene, 3,3',3''-[[(2-propenyloxy)-1-ethanyl-2-ylidene]tris(oxy)]tris-",29895-12-3,NS00028799,Synonyms_ChemSpider,4,CAS_RN: 29895-12-3,DTXSID3067526,C14H22O4
"3-({1,3-Bis[(prop-2-en-1-yl)oxy]propan-2-yl}oxy)prop-1-ene","1-Propene, 3,3',3''-[1,2,3-propanetriyltris(oxy)]tris-",2565-21-1,NS00027933,Name,NA,CAS_RN: 2565-21-1,DTXSID8062525,C12H20O3
"1-Propene, tetramer","1-Propene, tetramer",6842-15-5,NS00020694,Name,NA,CAS_RN: 6842-15-5,DTXSID6027634,C12H18
1-Propyl-3-(p-tolylsulphonyl)urea,1-Propyl-3-(p-tolylsulphonyl)urea,24570-88-5,NS00027695,Name,NA,CAS_RN: 24570-88-5,DTXSID70179313,C11H16N2O3S1
"1-propyl-3,5-diethyl-6-chlorouracil","1-Propyl-3,5-diethyl-6-chlorouracil",52357-17-2,NS00003353,Synonyms_ChemSpider,0,CAS_RN: 52357-17-2,DTXSID30200379,C11H17Cl1N2O2
1-Propyl-4-piperidone,1-Propyl-4-piperidone,23133-37-1,NS00019711,Name,NA,CAS_RN: 23133-37-1,DTXSID40177700,C8H15N1O1
1-Pyrenebutanoic acid,1-Pyrenebutanoic acid,3443-45-6,NS00029662,Name,NA,CAS_RN: 3443-45-6,DTXSID4063032,C20H16O2
"1-Pyrrolidinepropionic acid, ethyl ester","1-Pyrrolidinepropionic acid, ethyl ester",6317-35-7,NS00035348,Name,NA,CAS_RN: 6317-35-7,DTXSID80212508,C9H17N1O2
"5-Ethyl-4,4-diphenyl-3,4-dihydro-2H-pyrrole","1-Pyrroline, 3,3-diphenyl-2-ethyl-",53067-74-6,NS00032645,Name_ChemSpider,NA,CAS_RN: 53067-74-6,DTXSID30201144,C18H19N1
1-tert-butoxypropan-2-ol,1-tert-Butoxy-2-propanol,57018-52-7,NS00005729,Name,NA,CAS_RN: 57018-52-7,DTXSID8025967,C7H16O2
PROPYLENE GLYCOL BUTYL ETHER,1-tert-Butoxy-2-propanol,57018-52-7,NS00005729,Name,NA,CAS_RN: 57018-52-7,DTXSID8025967,C7H16O2
1-tert-Butyl-2-nitrobenzene,1-tert-Butyl-2-nitrobenzene,1886-57-3,NS00026178,Name,NA,CAS_RN: 1886-57-3,DTXSID20172233,C10H13N1O2
1-tert-Butyl-3-nitrobenzene,1-tert-Butyl-3-nitrobenzene,23132-52-7,NS00027360,Name,NA,CAS_RN: 23132-52-7,DTXSID90177699,C10H13N1O2
1-tert-Butyl-4-chlorocyclohexane,1-tert-Butyl-4-chlorocyclohexane,62056-46-6,NS00034900,Name,NA,CAS_RN: 62056-46-6,DTXSID20211111,C10H19Cl1
"1-tert-Butyl 1H-1,2,4-triazole-1-carboxylate","1-tert-Butyl 1H-1,2,4-triazole-1-carboxylate",41864-24-8,NS00031060,Name,NA,CAS_RN: 41864-24-8,DTXSID00194655,C7H11N3O2
MYRISTYL BETAINE,"1-Tetradecanaminium, N-(carboxymethyl)-N,N-dimethyl-, inner salt",2601-33-4,NS00013877,Name,NA,CAS_RN: 2601-33-4,DTXSID4041288,C18H38N1O2
1-Tetradecanethiol,1-Tetradecanethiol,2079-95-0,NS00026739,Name,NA,CAS_RN: 2079-95-0,DTXSID7062166,C14H30S1
"1-Tetradecanol, dihydrogen phosphate","1-Tetradecanol, dihydrogen phosphate",10054-29-2,NS00022990,Name,NA,CAS_RN: 10054-29-2,DTXSID1073995,C14H31O4P1
1-tetradecanoylbenzotriazole,1-tetradecanoylbenzotriazole,,NS00004907,Name,NA,CAS_RN: NA,NA,C20H31N3O1
"1-Tetradecylimidazolidine-2,4-dione","1-Tetradecylimidazolidine-2,4-dione",85391-29-3,NS00038897,Name,NA,CAS_RN: 85391-29-3,DTXSID80234563,C17H32N2O2
"(3,7-dimethyl-2,6-dioxo-2,3,6,7-tetrahydro-1H-purin-1-yl)acetic acid",1-Theobromineacetic acid,5614-56-2,NS00040797,Name,NA,CAS_RN: 5614-56-2,DTXSID50204672,C9H10N4O4
"1-Thio-beta-D-glucose 2,3,4,6-tetraacetate","1-Thio-beta-D-glucose 2,3,4,6-tetraacetate",19879-84-6,NS00026469,Name,NA,CAS_RN: 19879-84-6,DTXSID50173632,C14H20O9S1
HEPTYLUNDECANOL,"1-Undecanol, 2-heptyl-",5333-44-8,NS00013738,Name,NA,CAS_RN: 5333-44-8,DTXSID20884147,C18H38O1
1-(Morpholin-4-yl)undecan-1-one,"1-Undecanone, 1-morpholino-",32972-24-0,NS00029396,Synonyms_ChemSpider,4,CAS_RN: 32972-24-0,DTXSID80186614,C15H29N1O2
"11,11-Dimethoxyundec-1-ene","1-Undecene, 11,11-dimethoxy-",65405-66-5,NS00035874,Name,NA,CAS_RN: 65405-66-5,DTXSID0070314,C13H26O2
"1 alpha-Methyl-4-androstene-3,17-dione","1 alpha-Methyl-4-androstene-3,17-dione",4136-62-3,NS00005624,Name,NA,CAS_RN: 4136-62-3,NA,C20H28O2
1&#39;-Naphthoyl indole,1&#39;-Naphthoyl indole,NA,NA,NA,NA,NA,NA,NA
"5-Methoxy-3,4-dihydronaphthalen-1(2H)-one","1(2H)-Naphthalenone, 3,4-dihydro-5-methoxy-",33892-75-0,NS00029565,Name,NA,CAS_RN: 33892-75-0,DTXSID70187514,C11H12O2
"7-Nitro-3,4-dihydronaphthalen-1(2H)-one","1(2H)-Naphthalenone, 3,4-dihydro-7-nitro-",40353-34-2,NS00030763,Name,NA,CAS_RN: 40353-34-2,DTXSID00193345,C10H9N1O3
"1(2H)-Naphthalenone, octahydro-4a-methyl-, trans-","1(2H)-Naphthalenone, octahydro-4a-methyl-, trans-",937-99-5,NS00010814,Name,NA,CAS_RN: 937-99-5,NA,C11H18O1
3-Butylphthalide.,"1(3H)-Isobenzofuranone, 3-butyl-",6066-49-5,NS00012065,Name,NA,CAS_RN:  6066-49-5,DTXSID50863687,C12H14O2
3-Butylidenephthalide.,"1(3H)-Isobenzofuranone, 3-butylidene-",551-08-6,NS00012044,Name,NA,CAS_RN:  551-08-6,DTXSID9060281,C12H12O2
"3,3-Bis(1-butyl-2-methyl-1H-indol-3-yl)-2-benzofuran-1(3H)-one","1(3H)-Isobenzofuranone, 3,3-bis(1-butyl-2-methyl-1H-indol-3-yl)-",50292-91-6,NS00032035,Name_ChemSpider,NA,CAS_RN: 50292-91-6,DTXSID9068538,C34H36N2O2
"3,3-Bis(3,5-dibromo-4-hydroxyphenyl)-2-benzofuran-1(3H)-one","1(3H)-Isobenzofuranone, 3,3-bis(3,5-dibromo-4-hydroxyphenyl)-",76-62-0,NS00037816,Synonyms_ChemSpider,1,CAS_RN: 76-62-0,DTXSID0058801,C20H10Br4O4
tetrabromophenolphthalein,"1(3H)-Isobenzofuranone, 3,3-bis(3,5-dibromo-4-hydroxyphenyl)-",76-62-0,NS00037816,Name,NA,CAS_RN: 76-62-0,DTXSID0058801,C20H10Br4O4
"3,3-Bis(4-aminophenyl)-2-benzofuran-1(3H)-one","1(3H)-Isobenzofuranone, 3,3-bis(4-aminophenyl)-",509-77-3,NS00032178,Synonyms_ChemSpider,1,CAS_RN: 509-77-3,DTXSID5060148,C20H16N2O2
"3,3-Bis(4-hydroxy-3-methylphenyl)-2-benzofuran-1(3H)-one","1(3H)-Isobenzofuranone, 3,3-bis(4-hydroxy-3-methylphenyl)-",596-27-0,NS00019909,Synonyms_ChemSpider,1,CAS_RN: 596-27-0,DTXSID9060491,C22H18O4
"4,5,6,7-Tetrabromo-3,3-bis(4-hydroxyphenyl)-2-benzofuran-1(3H)-one","1(3H)-Isobenzofuranone, 4,5,6,7-tetrabromo-3,3-bis(4-hydroxyphenyl)-",13027-28-6,NS00024093,Name_ChemSpider,NA,CAS_RN: 13027-28-6,DTXSID3065326,C20H10Br4O4
"4,5,6,7-Tetrachloro-3,3-bis(2-methyl-1-octyl-1H-indol-3-yl)-2-benzofuran-1(3H)-one","1(3H)-Isobenzofuranone, 4,5,6,7-tetrachloro-3,3-bis(2-methyl-1-octyl-1H-indol-3-yl)-",50293-19-1,NS00032036,Synonyms_ChemSpider,1,CAS_RN: 50293-19-1,DTXSID3068540,C42H48Cl4N2O2
"2-[(Prop-2-en-1-yl)oxy]propane-1,3-diol","1,?-Propanediol, 2(or 3)-(2-propenyloxy)-",25136-53-2,NS00027814,Name,NA,CAS_RN: 25136-53-2,DTXSID5067057,C6H12O3
"1,1'-((6-(Pyridin-4-yl)-1,3,5-triazine-2,4-diyl)diimino)bisanthraquinone","1,1'-((6-(Pyridin-4-yl)-1,3,5-triazine-2,4-diyl)diimino)bisanthraquinone",53460-09-6,NS00032765,Name,NA,CAS_RN: 53460-09-6,DTXSID50201626,C36H20N6O4
"1,1'-((6-Chloro-1,3,5-triazine-2,4-diyl)diimino)bisanthraquinone","1,1'-((6-Chloro-1,3,5-triazine-2,4-diyl)diimino)bisanthraquinone",17612-57-6,NS00025790,Name,NA,CAS_RN: 17612-57-6,DTXSID10170086,C31H16Cl1N5O4
"1,1'-(1,1-dimethyl-3-methylene-1,3-propanediyl)bisbenzene","1,1'-(1,1-dimethyl-3-methylene-1,3-propanediyl)bisbenzene",6362-80-7,NS00107449,Name,NA,CAS_RN: 6362-80-7,NA,C18H20
"1,1'-(1,1,2,2-tetramethylethylene)dibenzene","1,1'-(1,1,2,2-tetramethylethylene)dibenzene",1889-67-4,NS00106684,Name,NA,CAS_RN: 1889-67-4,NA,C18H22
